#{"t_start": 1770904748.212053, "env_id": "None"}
r,l,t
-20.164641,78,53.568243
-10.116958,132,53.616879
-27.737549,98,53.651681
-32.580683,81,53.679742
-16.600625,129,53.728363
-35.113873,152,53.784375
-55.527908,126,53.834426
-5.58472,135,53.878844
20.218328,277,53.962646
-52.001504,135,53.998344
-9.740167,182,54.046242
-24.995067,179,54.093294
-13.477743,112,54.123476
-45.192953,110,54.154528
-41.783994,85,54.175058
-31.546637,101,54.878771
-31.989701,119,54.921244
-47.998883,117,54.96289
-54.905738,197,55.032415
-15.702068,94,55.065448
-30.453206,103,55.102426
-27.646116,70,55.128897
-10.976536,132,55.178596
-10.604743,117,55.222242
-16.105351,101,55.252394
-23.778909,99,55.279801
-22.942756,75,55.306162
-23.92713,84,55.330081
26.241997,283,55.406528
-17.193023,91,55.434874
-28.017368,118,55.467437
-19.299251,202,55.519861
-20.292313,105,56.238714
-49.390963,106,56.277424
-8.894603,114,56.320686
-36.765283,105,56.362846
-28.756976,106,56.403323
-19.36447,84,56.438998
-32.107824,136,56.487918
-29.492041,107,56.529915
-8.814249,134,56.573225
-16.689949,119,56.616957
-35.114129,96,56.646477
-23.093711,94,56.673466
-22.679299,112,56.70731
-51.605044,123,56.741691
-30.295934,106,56.777756
-57.534532,187,56.832768
-32.608478,150,56.879813
-31.663335,106,57.616507
-33.965868,144,57.67259
-31.4869,140,57.725763
-14.689261,96,57.763027
-18.618741,126,57.811728
0.91614,159,57.873449
-29.507022,88,57.910421
5.715411,173,57.975354
-22.054589,96,58.009657
-27.10895,155,58.061382
-37.472249,92,58.088575
-25.376034,114,58.120671
-47.251636,118,58.152908
-19.131019,181,58.207718
-19.348602,141,58.247246
-17.337557,97,58.274152
-14.797381,103,58.301563
-45.694634,101,59.028094
-52.401107,159,59.089465
-5.803435,179,59.159962
-40.088563,126,59.207749
-38.014268,138,59.262996
-23.589244,85,59.294848
-36.9657,90,59.330103
-8.728475,122,59.371546
-23.573968,153,59.419366
-21.253781,128,59.464148
-31.760191,137,59.509691
-17.896109,103,59.542305
-47.391539,133,59.58526
0.595834,123,59.622706
-1.362143,144,59.662537
-49.602478,91,59.691317
-59.119819,125,60.417569
-35.912766,114,60.455405
-36.695313,128,60.497617
-18.777084,112,60.535781
-30.177705,170,60.592001
-5.767165,119,60.632945
-17.582725,116,60.671931
-30.242141,98,60.704634
-33.858044,171,60.755466
-84.759798,227,60.819922
-23.706809,84,60.842896
-46.650953,137,60.878783
-21.518132,105,60.906948
-33.533167,100,60.932389
-29.345572,102,60.958419
-44.699851,102,60.985681
-23.302687,106,61.752924
-70.62887,191,61.828721
-30.568088,138,61.87982
-18.647456,151,61.937811
-24.965529,152,61.993467
